Date,Name,Year,Letterboxd URI
2022-08-11,12 Angry Men,1957,https://boxd.it/2auI
2022-08-11,Fight Club,1999,https://boxd.it/2a9q
2022-08-11,Top Gun,1986,https://boxd.it/29JC
2022-08-11,Dead Poets Society,1989,https://boxd.it/2aSg
2022-08-11,Tenet,2020,https://boxd.it/leq4
2022-08-11,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2022-08-11,Get Out,2017,https://boxd.it/eOCm
2022-08-11,The Batman,2022,https://boxd.it/eDGs
2023-04-05,Say Anything...,1989,https://boxd.it/27B2
2025-06-04,Sing Sing,2023,https://boxd.it/HIBA
2025-08-02,Mulholland Drive,2001,https://boxd.it/297o
2026-03-09,Hamnet,2025,https://boxd.it/woVy
2026-07-21,The Odyssey,2026,https://boxd.it/QFQU
