Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-06-07,Zack Snyder's Justice League,2021,https://boxd.it/1Uypon,1,,5 hours of absolute shit i do not gaf about. do not recommend.,,2021-06-06
2021-06-07,The Great Gatsby,2013,https://boxd.it/1UypD3,4,,nick is gay and has a crush on gatsby i don’t understand how people watch/read this and don’t feel this way.,,2021-06-06
2021-06-07,Ocean's Eight,2018,https://boxd.it/1UypPt,4,,#girlbosses,,2021-06-06
2021-06-07,Call Me by Your Name,2017,https://boxd.it/1Uyqmx,3,,i understand that it’s the name of the movie but did they need to call each other their own names while doing the deed? feels a little 🥴,,2021-06-06
2021-06-07,Black Swan,2010,https://boxd.it/1Uyr87,4.5,,i shit my pants watching this movie when her eyes changed color. do not recommend watching if you are prone to shitting pants at terrifying shit.,,2021-06-06
2021-06-07,The Perks of Being a Wallflower,2012,https://boxd.it/1UysWR,3,,this would be a 5/5 if it wasn’t for the “kiss the prettiest girl in the room” scene. so scary i close my eyes every time i watch.,,2021-06-06
2021-06-07,The Queen's Gambit,2020,https://boxd.it/1UytNL,4,,do drugs = good at chess,,2021-06-06
2021-06-07,Emma.,2020,https://boxd.it/1Uyu9n,2.5,,what is up with directors needing to film scenes of naked male asses,,2021-06-06
2021-06-07,The Social Network,2010,https://boxd.it/1Uyviv,4,,if mark zuckerberg looked like this irl u wouldn’t see me complaining abt facebook stealing my information,,2021-06-06
2021-06-07,Soul,2020,https://boxd.it/1UzgCd,4,,BOY I FELT THIS ONE IN MY <b>SOUL </b>haha lol get it. anyway great movie,,2021-06-06
2021-06-07,Little Women,2019,https://boxd.it/1Uzhth,5,,jo deserves no man. i am amy. laurie doesn’t deserve amy <b>or </b>jo.,,2021-06-06
2021-06-07,Grease,1978,https://boxd.it/1UBvyp,2,,the teenagers look like they’re 40 riverdale can to better than this. disappointing.,,2021-06-06
2021-06-07,E.T. the Extra-Terrestrial,1982,https://boxd.it/1UBwgh,4,,as a child i looked exactly like drew barrymore in this movie. i still flex it and that alone gives it 4 stars.,,2021-06-06
2021-06-07,Shrek,2001,https://boxd.it/1UBxtL,0.5,,i hate shrek,,2021-06-06
2021-06-07,Clueless,1995,https://boxd.it/1UBy8T,3.5,,the step siblings trope is weird and loses some points. paul rudd is hot.,,2021-06-06
2021-06-08,The Strange Thing About the Johnsons,2011,https://boxd.it/1UHJ4F,2.5,,holy shit,,2021-06-07
2021-06-28,The Princess and the Frog,2009,https://boxd.it/1XcOLp,3,,naveen SO SEXY when is there gonna be a live action version idc if they can’t make frogs i wanna see my hubby,,2021-06-27
2021-07-22,The Boss Baby: Family Business,2021,https://boxd.it/20QS0p,2,,5 stars for girlboss tina. minus a couple for the secret musical and the hints of incest.,,2021-07-22
2021-07-26,Luca,2021,https://boxd.it/21on8Z,1.5,,just meh. also i don’t like italians.,,2021-07-25
2021-08-09,Not Another Teen Movie,2001,https://boxd.it/23n0gx,3.5,,peed my pants,,2021-08-08
2021-09-05,He's All That,2021,https://boxd.it/27cEtF,0.5,,i wish that there was a 0 star option but there isn’t so i give this half a star only because of the abs,,2021-09-04
2021-09-05,"Barbie: Big City, Big Dreams",2021,https://boxd.it/27cELf,5,,has a better movie ever been made,,2021-09-04
2021-10-08,Kung Fu Panda,2008,https://boxd.it/2bNLxz,3,,so…,,2021-10-07
2021-11-14,All Too Well: The Short Film,2021,https://boxd.it/2hDZeZ,5,,FILM OF THE MF YEAR,,2021-11-13
2021-11-21,"tick, tick... BOOM!",2021,https://boxd.it/2iNm9F,,,i’m a whore for andrew garfield AND musicals! what a perfect little mix.,,2021-11-20
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/2mIgi3,5,,mouth WIDE open the entire time. pooped my pants at least once. cried.,,2021-12-16
2022-01-18,Sing 2,2021,https://boxd.it/2uylGr,5,,letterboxd needs a 6/5 stars feature for this movie and this movie only. i set high expectations and they were exceeded. my only complaint is no mike the mouse.,,2022-01-17
2022-01-23,American Psycho,2000,https://boxd.it/2vJ5a1,,,scared of men,,2022-01-22
2022-03-06,The Batman,2022,https://boxd.it/2DuJLD,,,so emo. loved his eyeshadow.,,2022-03-05
2022-05-09,Reversing Roe,2018,https://boxd.it/2P3ekb,,,how timely.,,2022-05-08
2022-06-06,Top Gun: Maverick,2022,https://boxd.it/2U9DHB,4,,i want miles teller’s great balls of fire,,2022-06-05
2022-06-09,The Sixth Sense,1999,https://boxd.it/2UFs4x,4,,wow,,2022-06-08
2022-06-11,Project X,2012,https://boxd.it/2UZOFb,5,,Spanish despegan cama How Weber cama eres already exceden Spanish despegan cama How Weber cama eres already exceden Hi bye I’ll see juice I started I started this review before I even finished the film but it is already exceeding my expectations and I just know that this is going to be the best movie I’ve ever seen that movie,,2022-06-10
2022-07-08,Minions: The Rise of Gru,2022,https://boxd.it/2ZXag7,2.5,,otto was lowkey the only highlight of this movie…,,2022-07-07
2022-08-03,Fight Club,1999,https://boxd.it/35EBbT,,,if someone would’ve just given the man some melatonin none of this would’ve happened,,2022-08-02
2022-08-08,The Pianist,2002,https://boxd.it/36OXMB,4.5,,fantastic.,,2022-08-07
2022-08-11,12 Angry Men,1957,https://boxd.it/37rM4B,,,likely one of the most accurate titles for a movie ever,,2022-08-11
2022-10-01,Elvis,2022,https://boxd.it/3hbIqB,3,,too long for a movie that wasn’t near amazing.,,2022-09-30
2022-12-21,The Conjuring 2,2016,https://boxd.it/3yGdST,,,a great movie watching experience,,2022-12-20
2023-08-03,Barbie,2023,https://boxd.it/4DtIWT,,,worst part about this movie is the time i spent crying to edits of films and what was i made for afterward,,2023-08-03
2025-01-25,Emilia Pérez,2024,https://boxd.it/8Bk7zp,1,,genuinely feel like this couldn’t been a somewhat okay movie but WHY WHY WHY did they make it a musical.,,2025-01-24
2025-01-28,A Real Pain,2024,https://boxd.it/8E2PJz,4,,really good. lots of emotion! wished there was a teensy bit more substance but appreciate that it feels like real life,,2025-01-27
2025-01-28,Wicked,2024,https://boxd.it/8E2Tdd,3.5,,points for nostalgia/fun/musical but not quite enough,,2025-01-27
2025-06-04,Sing Sing,2023,https://boxd.it/9TJ0Dz,4,,the actors PLAYED THEMSELVES?? no one told me this before watching. they’re all incredible and this was SO SO good.,,2025-06-03
2025-06-09,Ocean's Eleven,2001,https://boxd.it/9WmhXx,,,where are the movies like this these days,,2025-06-08
2025-08-02,Mulholland Drive,2001,https://boxd.it/azEsEN,,,need to marinate in this before i star it. actually holy fucking shit. the first movie in TOO long that i’ve never needed a phone break and never checked how much time was left. heart was never at a healthy rate.,,2025-08-02
2026-03-01,Wuthering Heights,2026,https://boxd.it/dltX85,,,good lord,,2026-02-28
2026-07-21,The Odyssey,2026,https://boxd.it/flRHrJ,,Yes,Pig scene carried.,,2026-07-20
