Date,Name,Year,Letterboxd URI
2021-06-07,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2021-06-07,Jennifer's Body,2009,https://boxd.it/1Efw
2021-06-07,Bridge to Terabithia,2007,https://boxd.it/28YG
2021-06-07,Frozen,2010,https://boxd.it/S8M
2021-06-07,Room,2015,https://boxd.it/7T0y
2021-06-07,Vivarium,2019,https://boxd.it/gmVE
2021-06-07,Begin Again,2013,https://boxd.it/5Ybs
2021-06-07,Promising Young Woman,2020,https://boxd.it/loRE
2021-06-07,Romeo + Juliet,1996,https://boxd.it/2ama
2021-06-07,Flashback,2020,https://boxd.it/iXQg
2021-06-24,Parasite,2019,https://boxd.it/hTha
2021-08-24,Requiem for a Dream,2000,https://boxd.it/29VI
2021-08-24,The Piano Teacher,2001,https://boxd.it/2886
2021-08-24,Oldboy,2003,https://boxd.it/29R2
2021-08-24,Irreversible,2002,https://boxd.it/29as
2021-08-24,American History X,1998,https://boxd.it/2bdo
2021-08-25,The Lovely Bones,2009,https://boxd.it/20IA
2021-10-08,Hereditary,2018,https://boxd.it/hNVe
2021-10-08,Suspiria,2018,https://boxd.it/cioI
2021-11-21,Last Night in Soho,2021,https://boxd.it/lbJC
2021-11-23,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8
2021-11-23,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw
2021-11-23,Spencer,2021,https://boxd.it/qPMG
2021-11-23,House of Gucci,2021,https://boxd.it/nVkC
2021-12-27,The Card Counter,2021,https://boxd.it/nTH0
2022-04-15,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2025-06-04,Bring Her Back,2025,https://boxd.it/Hxlc
2025-06-04,The Phoenician Scheme,2025,https://boxd.it/H0Ca
2025-06-04,Friendship,2024,https://boxd.it/L6Dc
2025-06-15,Materialists,2025,https://boxd.it/GZlW
2025-06-26,The Trial of the Chicago 7,2020,https://boxd.it/kn3w
2025-07-04,Thunderbolts*,2025,https://boxd.it/BfbQ
2025-07-18,There Will Be Blood,2007,https://boxd.it/20Z2
2025-07-18,In the Mood for Love,2000,https://boxd.it/29tE
2025-07-18,Moonlight,2016,https://boxd.it/d6bE
2025-07-18,No Country for Old Men,2007,https://boxd.it/21ew
2025-07-18,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2025-07-18,Spirited Away,2001,https://boxd.it/2b4m
2025-07-18,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2025-07-18,The Zone of Interest,2023,https://boxd.it/gJsA
2025-07-18,Children of Men,2006,https://boxd.it/1Y2i
2025-07-18,Inglourious Basterds,2009,https://boxd.it/1JzG
2025-07-18,City of God,2002,https://boxd.it/2a2a
2025-07-18,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M
2025-07-18,Brokeback Mountain,2005,https://boxd.it/2b2q
2025-07-18,Y Tu Mamá También,2001,https://boxd.it/28QM
2025-07-18,Zodiac,2007,https://boxd.it/27MO
2025-07-18,The Royal Tenenbaums,2001,https://boxd.it/1YHU
