Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-06-07,Zack Snyder's Justice League,2021,https://boxd.it/1Uypon,1,,,2021-06-06
2021-06-07,The Great Gatsby,2013,https://boxd.it/1UypD3,4,,,2021-06-06
2021-06-07,Ocean's Eight,2018,https://boxd.it/1UypPt,4,,,2021-06-06
2021-06-07,Call Me by Your Name,2017,https://boxd.it/1Uyqmx,3,,,2021-06-06
2021-06-07,Black Swan,2010,https://boxd.it/1Uyr87,4.5,,,2021-06-06
2021-06-07,The Perks of Being a Wallflower,2012,https://boxd.it/1UysWR,3,,,2021-06-06
2021-06-07,The Queen's Gambit,2020,https://boxd.it/1UytNL,4,,,2021-06-06
2021-06-07,Emma.,2020,https://boxd.it/1Uyu9n,2.5,,,2021-06-06
2021-06-07,The Social Network,2010,https://boxd.it/1Uyviv,4,,,2021-06-06
2021-06-07,Soul,2020,https://boxd.it/1UzgCd,4,,,2021-06-06
2021-06-07,Little Women,2019,https://boxd.it/1Uzhth,5,,,2021-06-06
2021-06-07,Grease,1978,https://boxd.it/1UBvyp,2,,,2021-06-06
2021-06-07,E.T. the Extra-Terrestrial,1982,https://boxd.it/1UBwgh,4,,,2021-06-06
2021-06-07,Shrek,2001,https://boxd.it/1UBxtL,0.5,,,2021-06-06
2021-06-07,Clueless,1995,https://boxd.it/1UBy8T,3.5,,,2021-06-06
2021-06-08,The Strange Thing About the Johnsons,2011,https://boxd.it/1UHJ4F,2.5,,,2021-06-07
2021-06-28,The Princess and the Frog,2009,https://boxd.it/1XcOLp,3,,,2021-06-27
2021-07-22,The Boss Baby: Family Business,2021,https://boxd.it/20QS0p,2,,,2021-07-22
2021-07-26,Luca,2021,https://boxd.it/21on8Z,1.5,,,2021-07-25
2021-08-09,Not Another Teen Movie,2001,https://boxd.it/23n0gx,3.5,,,2021-08-08
2021-09-05,He's All That,2021,https://boxd.it/27cEtF,0.5,,,2021-09-04
2021-09-05,"Barbie: Big City, Big Dreams",2021,https://boxd.it/27cELf,5,,,2021-09-04
2021-10-08,Kung Fu Panda,2008,https://boxd.it/2bNLxz,3,,,2021-10-07
2021-11-14,All Too Well: The Short Film,2021,https://boxd.it/2hDZeZ,5,,,2021-11-13
2021-11-21,"tick, tick... BOOM!",2021,https://boxd.it/2iNm9F,,,,2021-11-20
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/2mIgi3,5,,,2021-12-16
2022-01-18,Sing 2,2021,https://boxd.it/2uylGr,5,,,2022-01-17
2022-01-23,American Psycho,2000,https://boxd.it/2vJ5a1,,,,2022-01-22
2022-03-06,The Batman,2022,https://boxd.it/2DuJLD,,,,2022-03-05
2022-05-09,Reversing Roe,2018,https://boxd.it/2P3ekb,,,,2022-05-08
2022-06-06,Top Gun: Maverick,2022,https://boxd.it/2U9DHB,4,,,2022-06-05
2022-06-09,The Sixth Sense,1999,https://boxd.it/2UFs4x,4,,,2022-06-08
2022-06-11,Project X,2012,https://boxd.it/2UZOFb,5,,,2022-06-10
2022-07-08,Minions: The Rise of Gru,2022,https://boxd.it/2ZXag7,2.5,,,2022-07-07
2022-08-03,Fight Club,1999,https://boxd.it/35EBbT,,,,2022-08-02
2022-08-08,The Pianist,2002,https://boxd.it/36OXMB,4.5,,,2022-08-07
2022-08-11,12 Angry Men,1957,https://boxd.it/37rM4B,,,,2022-08-11
2022-10-01,Elvis,2022,https://boxd.it/3hbIqB,3,,,2022-09-30
2022-12-21,The Conjuring 2,2016,https://boxd.it/3yGdST,,,,2022-12-20
2023-08-03,Barbie,2023,https://boxd.it/4DtIWT,,,,2023-08-03
2025-01-25,Emilia Pérez,2024,https://boxd.it/8Bk7zp,1,,,2025-01-24
2025-01-28,A Real Pain,2024,https://boxd.it/8E2PJz,4,,,2025-01-27
2025-01-28,Wicked,2024,https://boxd.it/8E2Tdd,3.5,,,2025-01-27
2025-06-04,Sing Sing,2023,https://boxd.it/9TJ0Dz,4,,,2025-06-03
2025-06-09,Ocean's Eleven,2001,https://boxd.it/9WmhXx,,,,2025-06-08
2025-06-26,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/a7p5yP,,,,2025-06-25
2025-07-12,Superman,2025,https://boxd.it/aiSDcv,,,,2025-07-12
2025-07-16,Challengers,2024,https://boxd.it/alBkD1,,,,2025-07-15
2025-07-20,The Matrix,1999,https://boxd.it/aorfiT,,,,2025-07-19
2025-07-23,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/aruzrp,,,,2025-07-23
2025-08-01,Happy Gilmore 2,2025,https://boxd.it/ayTmDl,,,,2025-08-01
2025-08-02,Mulholland Drive,2001,https://boxd.it/azEsEN,,,,2025-08-02
2025-11-23,The Substance,2024,https://boxd.it/bOb47v,,,,2025-11-22
2025-12-09,Wicked: For Good,2025,https://boxd.it/bYJhmL,,,,2025-12-08
2025-12-16,Wake Up Dead Man,2025,https://boxd.it/c4hkUp,,,,2025-12-15
2025-12-31,One Battle After Another,2025,https://boxd.it/ckRo6p,,,,2025-12-30
2026-01-01,Marty Supreme,2025,https://boxd.it/clAbXb,,,,2025-12-31
2026-01-20,People We Meet on Vacation,2026,https://boxd.it/cJpOGH,,,,2026-01-19
2026-01-20,Beautiful Boy,2018,https://boxd.it/cJpPpR,,,,2026-01-19
2026-01-24,21 Jump Street,2012,https://boxd.it/cN0Eax,,,,2026-01-23
2026-02-10,Bugonia,2025,https://boxd.it/d4jP9B,,,,2026-02-09
2026-03-01,Wuthering Heights,2026,https://boxd.it/dltX85,,,,2026-02-28
2026-03-04,Train Dreams,2025,https://boxd.it/dnH1Z7,,,,2026-03-03
2026-03-09,F1,2025,https://boxd.it/dry6m3,,,,2026-03-03
2026-03-08,Frankenstein,2025,https://boxd.it/dr7LKr,,,,2026-03-07
2026-03-09,Hamnet,2025,https://boxd.it/drzKZr,,,,2026-03-08
2026-05-04,Crime 101,2026,https://boxd.it/edF3ld,,,,2026-05-03
2026-07-21,The Odyssey,2026,https://boxd.it/flRrSz,,,,2026-07-20
2026-07-21,The Odyssey,2026,https://boxd.it/flRHrJ,,Yes,,2026-07-20
2026-08-02,Spider-Man: Brand New Day,2026,https://boxd.it/fA0qLB,,,,2026-08-01
2026-08-07,Voicemails for Isabelle,2026,https://boxd.it/fGJzJX,,,,2026-08-06
2026-08-09,Taken,2008,https://boxd.it/fJfx6h,,,,2026-08-08
2026-08-17,The Fast and the Furious,2001,https://boxd.it/fRyk0Z,,,,2026-08-16
