Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-08,cute lil comf,,https://boxd.it/dCPFS,

Position,Name,Year,URL,Description
1,Little Women,2019,https://boxd.it/aSVk,
2,Knives Out,2019,https://boxd.it/jWEA,
3,Crazy Rich Asians,2018,https://boxd.it/gfnK,
4,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,
5,Ocean's Eight,2018,https://boxd.it/eaai,
6,Thor: Ragnarok,2017,https://boxd.it/8MHi,
7,Lady Bird,2017,https://boxd.it/dGNE,
8,Moana,2016,https://boxd.it/8tfY,
9,Sing,2016,https://boxd.it/b5EQ,
10,La La Land,2016,https://boxd.it/a5fa,
11,Now You See Me,2013,https://boxd.it/2Bsu,
12,Pitch Perfect,2012,https://boxd.it/3OsE,
13,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,
14,Tangled,2010,https://boxd.it/15gO,
15,The Dark Knight,2008,https://boxd.it/2b0k,
16,Mamma Mia!,2008,https://boxd.it/1Tnq,
17,Mean Girls,2004,https://boxd.it/1VNg,
18,13 Going on 30,2004,https://boxd.it/1X6e,
19,Not Another Teen Movie,2001,https://boxd.it/1TWq,
20,10 Things I Hate About You,1999,https://boxd.it/23AO,
21,Clueless,1995,https://boxd.it/1Ygk,
